District,Price(P),Change(P),Price(D),Change(D)
Dhalai,214.00 ₹/L,- 37.00,176.00 ₹/L,- 37.00
Gomati,214.00 ₹/L,- 37.00,176.00 ₹/L,- 37.00
Khowai,214.00 ₹/L,- 37.00,176.00 ₹/L,- 37.00
North Tripura,214.00 ₹/L,- 37.00,176.00 ₹/L,- 37.00
Sepahijhala,214.00 ₹/L,- 37.00,176.00 ₹/L,- 37.00
South Tripura,214.00 ₹/L,- 37.00,176.00 ₹/L,- 37.00
Unakoti,214.00 ₹/L,- 37.00,176.00 ₹/L,- 37.00
West Tripura,214.00 ₹/L,- 37.00,176.00 ₹/L,- 37.00
