District,Petrol Price,Change
"Oct 10, 2025",101.51 ₹/L,  0.00
"Oct 09, 2025",101.51 ₹/L,+ 0.05
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.75
"Oct 15, 2025",102.25 ₹/L,+ 0.16
"Oct 14, 2025",102.41 ₹/L,  0.00
"Oct 13, 2025",102.41 ₹/L,- 0.16
"Oct 12, 2025",102.25 ₹/L,+ 0.07
"Oct 11, 2025",102.32 ₹/L,- 0.07
"Oct 10, 2025",102.25 ₹/L,+ 0.04
"Oct 09, 2025",102.29 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.50
"Oct 15, 2025",101.50 ₹/L,+ 0.26
"Oct 14, 2025",101.76 ₹/L,- 0.49
"Oct 13, 2025",101.27 ₹/L,+ 0.47
"Oct 12, 2025",101.74 ₹/L,- 0.47
"Oct 11, 2025",101.27 ₹/L,  0.00
"Oct 10, 2025",101.27 ₹/L,  0.00
"Oct 09, 2025",101.27 ₹/L,+ 0.39
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.20
"Oct 15, 2025",102.80 ₹/L,  0.00
"Oct 14, 2025",102.80 ₹/L,  0.00
"Oct 13, 2025",102.80 ₹/L,- 0.19
"Oct 12, 2025",102.61 ₹/L,+ 0.19
"Oct 11, 2025",102.80 ₹/L,  0.00
"Oct 10, 2025",102.80 ₹/L,  0.00
"Oct 09, 2025",102.80 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.29
"Oct 15, 2025",101.71 ₹/L,- 0.08
"Oct 14, 2025",101.63 ₹/L,- 0.01
"Oct 13, 2025",101.62 ₹/L,+ 0.09
"Oct 12, 2025",101.71 ₹/L,- 0.08
"Oct 11, 2025",101.63 ₹/L,+ 0.08
"Oct 10, 2025",101.71 ₹/L,+ 0.23
"Oct 09, 2025",101.94 ₹/L,+ 0.10
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.34
"Oct 15, 2025",101.66 ₹/L,- 0.20
"Oct 14, 2025",101.46 ₹/L,+ 0.37
"Oct 13, 2025",101.83 ₹/L,- 0.02
"Oct 12, 2025",101.81 ₹/L,- 0.30
"Oct 11, 2025",101.51 ₹/L,+ 0.15
"Oct 10, 2025",101.66 ₹/L,  0.00
"Oct 09, 2025",101.66 ₹/L,+ 0.17
"Oct 08, 2025",101.83 ₹/L,- 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.35
"Oct 15, 2025",101.65 ₹/L,+ 1.20
"Oct 14, 2025",102.85 ₹/L,- 0.32
"Oct 13, 2025",102.53 ₹/L,- 0.54
"Oct 12, 2025",101.99 ₹/L,+ 0.31
"Oct 11, 2025",102.30 ₹/L,+ 0.55
"Oct 10, 2025",102.85 ₹/L,- 0.32
"Oct 09, 2025",102.53 ₹/L,- 0.54
"Oct 08, 2025",101.99 ₹/L,+ 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.34
"Oct 15, 2025",101.66 ₹/L,  0.00
"Oct 14, 2025",101.66 ₹/L,+ 0.25
"Oct 13, 2025",101.91 ₹/L,- 0.50
"Oct 12, 2025",101.41 ₹/L,+ 0.25
"Oct 11, 2025",101.66 ₹/L,  0.00
"Oct 10, 2025",101.66 ₹/L,+ 0.25
"Oct 09, 2025",101.91 ₹/L,+ 0.26
"Oct 08, 2025",102.17 ₹/L,- 0.33
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.00
"Oct 15, 2025",102.00 ₹/L,+ 0.16
"Oct 14, 2025",102.16 ₹/L,  0.00
"Oct 13, 2025",102.16 ₹/L,  0.00
"Oct 12, 2025",102.16 ₹/L,- 0.02
"Oct 11, 2025",102.14 ₹/L,- 0.14
"Oct 10, 2025",102.00 ₹/L,+ 0.11
"Oct 09, 2025",102.11 ₹/L,+ 0.05
"Oct 08, 2025",102.16 ₹/L,- 0.33
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.04
"Oct 15, 2025",101.96 ₹/L,+ 0.20
"Oct 14, 2025",102.16 ₹/L,  0.00
"Oct 13, 2025",102.16 ₹/L,- 0.20
"Oct 12, 2025",101.96 ₹/L,- 0.12
"Oct 11, 2025",101.84 ₹/L,+ 0.12
"Oct 10, 2025",101.96 ₹/L,- 0.03
"Oct 09, 2025",101.93 ₹/L,+ 0.03
"Oct 08, 2025",101.96 ₹/L,+ 0.25
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.22
"Oct 15, 2025",101.78 ₹/L,- 0.42
"Oct 14, 2025",101.36 ₹/L,+ 0.29
"Oct 13, 2025",101.65 ₹/L,  0.00
"Oct 12, 2025",101.65 ₹/L,+ 0.13
"Oct 11, 2025",101.78 ₹/L,+ 0.15
"Oct 10, 2025",101.93 ₹/L,- 0.74
"Oct 09, 2025",101.19 ₹/L,+ 0.38
"Oct 08, 2025",101.57 ₹/L,+ 0.21
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 39.94
"Oct 15, 2025",102.06 ₹/L,- 0.49
"Oct 14, 2025",101.57 ₹/L,+ 0.46
"Oct 13, 2025",102.03 ₹/L,+ 0.03
"Oct 12, 2025",102.06 ₹/L,- 0.32
"Oct 11, 2025",101.74 ₹/L,+ 0.25
"Oct 10, 2025",101.99 ₹/L,- 0.34
"Oct 09, 2025",101.65 ₹/L,  0.00
"Oct 08, 2025",101.65 ₹/L,+ 0.15
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.41
"Oct 15, 2025",101.59 ₹/L,- 0.44
"Oct 14, 2025",101.15 ₹/L,  0.00
"Oct 13, 2025",101.15 ₹/L,+ 0.44
"Oct 12, 2025",101.59 ₹/L,+ 0.07
"Oct 11, 2025",101.66 ₹/L,- 0.51
"Oct 10, 2025",101.15 ₹/L,+ 0.11
"Oct 09, 2025",101.26 ₹/L,+ 0.33
"Oct 08, 2025",101.59 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.88
"Oct 15, 2025",101.12 ₹/L,+ 0.25
"Oct 14, 2025",101.37 ₹/L,- 0.15
"Oct 13, 2025",101.22 ₹/L,+ 0.15
"Oct 12, 2025",101.37 ₹/L,- 0.21
"Oct 11, 2025",101.16 ₹/L,- 0.04
"Oct 10, 2025",101.12 ₹/L,+ 0.10
"Oct 09, 2025",101.22 ₹/L,+ 0.15
"Oct 08, 2025",101.37 ₹/L,+ 0.23
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.29
"Oct 15, 2025",101.71 ₹/L,- 0.26
"Oct 14, 2025",101.45 ₹/L,+ 0.28
"Oct 13, 2025",101.73 ₹/L,- 0.22
"Oct 12, 2025",101.51 ₹/L,+ 0.22
"Oct 11, 2025",101.73 ₹/L,- 0.02
"Oct 10, 2025",101.71 ₹/L,- 0.26
