District,Petrol Price,Change
"Oct 07, 2025",93.09 ₹/L,- 0.07
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.62 ₹/L,+ 0.26
"Oct 14, 2025",94.88 ₹/L,- 0.26
"Oct 13, 2025",94.62 ₹/L,  0.00
"Oct 12, 2025",94.62 ₹/L,  0.00
"Oct 11, 2025",94.62 ₹/L,  0.00
"Oct 10, 2025",94.62 ₹/L,+ 0.01
"Oct 09, 2025",94.63 ₹/L,  0.00
"Oct 08, 2025",94.63 ₹/L,  0.00
"Oct 07, 2025",94.63 ₹/L,+ 0.25
