District,Petrol Price,Change
"Oct 08, 2025",108.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 34.50
"Oct 15, 2025",107.50 ₹/L,- 0.11
"Oct 14, 2025",107.39 ₹/L,- 0.20
"Oct 13, 2025",107.19 ₹/L,+ 0.20
"Oct 12, 2025",107.39 ₹/L,- 0.56
"Oct 11, 2025",106.83 ₹/L,+ 0.26
"Oct 10, 2025",107.09 ₹/L,+ 0.10
"Oct 09, 2025",107.19 ₹/L,+ 0.20
"Oct 08, 2025",107.39 ₹/L,  NA
"Oct 06, 2025",107.19 ₹/L,  0.00
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.75
"Oct 15, 2025",107.25 ₹/L,  0.00
"Oct 14, 2025",107.25 ₹/L,+ 0.15
"Oct 13, 2025",107.40 ₹/L,+ 0.15
"Oct 12, 2025",107.55 ₹/L,  0.00
"Oct 11, 2025",107.55 ₹/L,- 0.30
"Oct 10, 2025",107.25 ₹/L,+ 0.15
"Oct 09, 2025",107.40 ₹/L,- 0.29
"Oct 08, 2025",107.11 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 35.57
"Oct 15, 2025",106.43 ₹/L,  0.00
"Oct 14, 2025",106.43 ₹/L,+ 0.54
"Oct 13, 2025",106.97 ₹/L,+ 0.09
"Oct 12, 2025",107.06 ₹/L,- 0.41
"Oct 11, 2025",106.65 ₹/L,- 0.22
"Oct 10, 2025",106.43 ₹/L,+ 0.54
"Oct 09, 2025",106.97 ₹/L,+ 0.47
"Oct 08, 2025",107.44 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.48
"Oct 15, 2025",107.52 ₹/L,- 0.13
"Oct 14, 2025",107.39 ₹/L,+ 0.15
"Oct 13, 2025",107.54 ₹/L,- 0.17
"Oct 12, 2025",107.37 ₹/L,+ 0.02
"Oct 11, 2025",107.39 ₹/L,+ 0.61
"Oct 10, 2025",108.00 ₹/L,- 0.93
"Oct 09, 2025",107.07 ₹/L,+ 0.75
"Oct 08, 2025",107.82 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.00
"Oct 15, 2025",108.00 ₹/L,+ 0.02
"Oct 14, 2025",108.02 ₹/L,- 0.02
"Oct 13, 2025",108.00 ₹/L,  0.00
"Oct 12, 2025",108.00 ₹/L,+ 0.02
"Oct 11, 2025",108.02 ₹/L,- 0.02
"Oct 10, 2025",108.00 ₹/L,  0.00
"Oct 09, 2025",108.00 ₹/L,  0.00
"Oct 08, 2025",108.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.53
"Oct 15, 2025",107.47 ₹/L,+ 0.24
"Oct 14, 2025",107.71 ₹/L,- 0.24
"Oct 13, 2025",107.47 ₹/L,+ 0.24
"Oct 12, 2025",107.71 ₹/L,+ 0.15
"Oct 11, 2025",107.86 ₹/L,- 0.39
"Oct 10, 2025",107.47 ₹/L,- 0.42
"Oct 09, 2025",107.05 ₹/L,  0.00
"Oct 08, 2025",107.05 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 35.55
"Oct 15, 2025",106.45 ₹/L,  0.00
"Oct 14, 2025",106.45 ₹/L,  0.00
"Oct 13, 2025",106.45 ₹/L,- 0.20
"Oct 12, 2025",106.25 ₹/L,+ 0.26
"Oct 11, 2025",106.51 ₹/L,- 0.06
"Oct 10, 2025",106.45 ₹/L,- 0.18
"Oct 09, 2025",106.27 ₹/L,+ 0.18
"Oct 08, 2025",106.45 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 35.19
"Oct 15, 2025",106.81 ₹/L,+ 0.24
"Oct 14, 2025",107.05 ₹/L,  0.00
"Oct 13, 2025",107.05 ₹/L,- 0.02
"Oct 12, 2025",107.03 ₹/L,- 0.22
"Oct 11, 2025",106.81 ₹/L,- 0.09
"Oct 10, 2025",106.72 ₹/L,+ 0.50
"Oct 09, 2025",107.22 ₹/L,  0.00
"Oct 08, 2025",107.22 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 35.76
"Oct 15, 2025",106.24 ₹/L,+ 0.18
"Oct 14, 2025",106.42 ₹/L,- 0.08
"Oct 13, 2025",106.34 ₹/L,  0.00
