District,Petrol Price,Change
"Oct 09, 2025",101.11 ₹/L,  0.00
"Oct 08, 2025",101.11 ₹/L,  NA
"Oct 07, 2025",95.03 ₹/L,+ 0.10
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.55 ₹/L,- 0.14
"Oct 14, 2025",95.41 ₹/L,+ 0.49
"Oct 13, 2025",95.90 ₹/L,+ 0.04
"Oct 12, 2025",95.94 ₹/L,- 0.26
"Oct 11, 2025",95.68 ₹/L,- 0.13
"Oct 10, 2025",95.55 ₹/L,+ 0.35
"Oct 09, 2025",95.90 ₹/L,- 0.07
"Oct 08, 2025",95.83 ₹/L,- 0.28
"Oct 07, 2025",95.55 ₹/L,+ 0.35
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.90 ₹/L,+ 0.21
"Oct 14, 2025",95.11 ₹/L,- 0.25
"Oct 13, 2025",94.86 ₹/L,- 0.08
"Oct 12, 2025",94.78 ₹/L,- 0.06
"Oct 11, 2025",94.72 ₹/L,+ 0.18
"Oct 10, 2025",94.90 ₹/L,+ 0.08
"Oct 09, 2025",94.98 ₹/L,- 0.26
"Oct 08, 2025",94.72 ₹/L,+ 0.22
"Oct 07, 2025",94.94 ₹/L,- 0.08
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.43 ₹/L,+ 0.63
"Oct 14, 2025",95.06 ₹/L,  0.00
"Oct 13, 2025",95.06 ₹/L,- 0.24
"Oct 12, 2025",94.82 ₹/L,- 0.02
"Oct 11, 2025",94.80 ₹/L,- 0.37
"Oct 10, 2025",94.43 ₹/L,+ 0.23
"Oct 09, 2025",94.66 ₹/L,+ 0.40
"Oct 08, 2025",95.06 ₹/L,- 0.63
"Oct 07, 2025",94.43 ₹/L,+ 0.23
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.05 ₹/L,+ 0.31
"Oct 14, 2025",95.36 ₹/L,- 0.01
"Oct 13, 2025",95.35 ₹/L,- 0.18
"Oct 12, 2025",95.17 ₹/L,+ 0.18
"Oct 11, 2025",95.35 ₹/L,  0.00
"Oct 10, 2025",95.35 ₹/L,- 0.03
"Oct 09, 2025",95.32 ₹/L,- 0.17
"Oct 08, 2025",95.15 ₹/L,+ 0.10
"Oct 07, 2025",95.25 ₹/L,+ 0.20
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.63 ₹/L,- 0.10
"Oct 14, 2025",94.53 ₹/L,  0.00
"Oct 13, 2025",94.53 ₹/L,+ 0.06
"Oct 12, 2025",94.59 ₹/L,+ 0.33
"Oct 11, 2025",94.92 ₹/L,- 0.19
"Oct 10, 2025",94.73 ₹/L,- 0.20
"Oct 09, 2025",94.53 ₹/L,- 0.02
"Oct 08, 2025",94.51 ₹/L,+ 0.34
"Oct 07, 2025",94.85 ₹/L,- 0.32
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.66 ₹/L,  0.00
"Oct 14, 2025",94.66 ₹/L,- 0.03
"Oct 13, 2025",94.63 ₹/L,- 0.01
"Oct 12, 2025",94.62 ₹/L,+ 0.04
"Oct 11, 2025",94.66 ₹/L,  0.00
"Oct 10, 2025",94.66 ₹/L,- 0.04
"Oct 09, 2025",94.62 ₹/L,  0.00
"Oct 08, 2025",94.62 ₹/L,+ 0.10
"Oct 07, 2025",94.72 ₹/L,- 0.09
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.29 ₹/L,  0.00
"Oct 14, 2025",95.29 ₹/L,  0.00
"Oct 13, 2025",95.29 ₹/L,- 0.13
"Oct 12, 2025",95.16 ₹/L,+ 0.07
"Oct 11, 2025",95.23 ₹/L,- 0.17
"Oct 10, 2025",95.06 ₹/L,+ 0.24
"Oct 09, 2025",95.30 ₹/L,- 0.04
"Oct 08, 2025",95.26 ₹/L,- 0.20
"Oct 07, 2025",95.06 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.65 ₹/L,  0.00
"Oct 14, 2025",94.65 ₹/L,  0.00
"Oct 13, 2025",94.65 ₹/L,  0.00
"Oct 12, 2025",94.65 ₹/L,+ 0.27
"Oct 11, 2025",94.92 ₹/L,- 0.27
"Oct 10, 2025",94.65 ₹/L,  0.00
"Oct 09, 2025",94.65 ₹/L,+ 0.04
"Oct 08, 2025",94.69 ₹/L,- 0.04
"Oct 07, 2025",94.65 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.60 ₹/L,- 0.05
"Oct 14, 2025",95.55 ₹/L,+ 0.08
"Oct 13, 2025",95.63 ₹/L,+ 0.09
"Oct 12, 2025",95.72 ₹/L,- 0.12
"Oct 11, 2025",95.60 ₹/L,  0.00
"Oct 10, 2025",95.60 ₹/L,+ 0.03
"Oct 09, 2025",95.63 ₹/L,- 0.08
"Oct 08, 2025",95.55 ₹/L,+ 0.05
"Oct 07, 2025",95.60 ₹/L,+ 0.03
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.74 ₹/L,- 0.09
"Oct 14, 2025",94.65 ₹/L,- 0.14
"Oct 13, 2025",94.51 ₹/L,+ 0.03
"Oct 12, 2025",94.54 ₹/L,+ 0.37
"Oct 11, 2025",94.91 ₹/L,- 0.23
"Oct 10, 2025",94.68 ₹/L,- 0.17
"Oct 09, 2025",94.51 ₹/L,+ 0.29
"Oct 08, 2025",94.80 ₹/L,- 0.16
"Oct 07, 2025",94.64 ₹/L,- 0.10
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.15 ₹/L,- 0.40
"Oct 14, 2025",94.75 ₹/L,- 0.11
"Oct 13, 2025",94.64 ₹/L,+ 0.16
"Oct 12, 2025",94.80 ₹/L,  0.00
"Oct 11, 2025",94.80 ₹/L,+ 0.35
"Oct 10, 2025",95.15 ₹/L,- 0.51
"Oct 09, 2025",94.64 ₹/L,+ 0.11
"Oct 08, 2025",94.75 ₹/L,- 0.37
"Oct 07, 2025",94.38 ₹/L,+ 0.26
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.97 ₹/L,  0.00
"Oct 14, 2025",94.97 ₹/L,+ 0.09
"Oct 13, 2025",95.06 ₹/L,  0.00
"Oct 12, 2025",95.06 ₹/L,+ 0.13
"Oct 11, 2025",95.19 ₹/L,- 0.22
"Oct 10, 2025",94.97 ₹/L,+ 0.50
"Oct 09, 2025",95.47 ₹/L,- 0.41
"Oct 08, 2025",95.06 ₹/L,+ 0.07
"Oct 07, 2025",95.13 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.26 ₹/L,- 0.12
"Oct 14, 2025",95.14 ₹/L,+ 0.11
"Oct 13, 2025",95.25 ₹/L,+ 0.01
"Oct 12, 2025",95.26 ₹/L,- 0.10
"Oct 11, 2025",95.16 ₹/L,+ 0.08
"Oct 10, 2025",95.24 ₹/L,+ 0.01
"Oct 09, 2025",95.25 ₹/L,+ 0.12
"Oct 08, 2025",95.37 ₹/L,- 0.32
"Oct 07, 2025",95.05 ₹/L,+ 0.09
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.23 ₹/L,  0.00
"Oct 14, 2025",95.23 ₹/L,  0.00
"Oct 13, 2025",95.23 ₹/L,- 0.28
"Oct 12, 2025",94.95 ₹/L,+ 0.25
"Oct 11, 2025",95.20 ₹/L,+ 0.03
"Oct 10, 2025",95.23 ₹/L,  0.00
"Oct 09, 2025",95.23 ₹/L,- 0.16
"Oct 08, 2025",95.07 ₹/L,- 0.12
"Oct 07, 2025",94.95 ₹/L,+ 0.28
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.41 ₹/L,- 0.27
"Oct 14, 2025",95.14 ₹/L,+ 0.51
"Oct 13, 2025",95.65 ₹/L,- 0.51
"Oct 12, 2025",95.14 ₹/L,+ 0.34
"Oct 11, 2025",95.48 ₹/L,- 0.35
"Oct 10, 2025",95.13 ₹/L,+ 0.17
"Oct 09, 2025",95.30 ₹/L,  0.00
"Oct 08, 2025",95.30 ₹/L,+ 0.33
"Oct 07, 2025",95.63 ₹/L,- 0.50
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.66 ₹/L,- 0.17
"Oct 14, 2025",94.49 ₹/L,  0.00
"Oct 13, 2025",94.49 ₹/L,  0.00
"Oct 12, 2025",94.49 ₹/L,- 0.14
"Oct 11, 2025",94.35 ₹/L,  0.00
"Oct 10, 2025",94.35 ₹/L,+ 0.34
"Oct 09, 2025",94.69 ₹/L,- 0.20
"Oct 08, 2025",94.49 ₹/L,- 0.20
"Oct 07, 2025",94.29 ₹/L,+ 0.03
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.05 ₹/L,- 0.28
"Oct 14, 2025",94.77 ₹/L,- 0.06
"Oct 13, 2025",94.71 ₹/L,+ 0.34
"Oct 12, 2025",95.05 ₹/L,+ 0.07
"Oct 11, 2025",95.12 ₹/L,- 0.07
"Oct 10, 2025",95.05 ₹/L,- 0.34
"Oct 09, 2025",94.71 ₹/L,+ 0.06
"Oct 08, 2025",94.77 ₹/L,  0.00
"Oct 07, 2025",94.77 ₹/L,- 0.06
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.70 ₹/L,- 0.26
"Oct 14, 2025",94.44 ₹/L,  0.00
"Oct 13, 2025",94.44 ₹/L,+ 0.26
"Oct 12, 2025",94.70 ₹/L,- 0.26
"Oct 11, 2025",94.44 ₹/L,+ 0.26
"Oct 10, 2025",94.70 ₹/L,- 0.12
"Oct 09, 2025",94.58 ₹/L,+ 0.17
"Oct 08, 2025",94.75 ₹/L,- 0.05
"Oct 07, 2025",94.70 ₹/L,+ 0.05
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",96.17 ₹/L,- 0.61
"Oct 14, 2025",95.56 ₹/L,+ 0.61
"Oct 13, 2025",96.17 ₹/L,- 0.12
"Oct 12, 2025",96.05 ₹/L,- 0.07
"Oct 11, 2025",95.98 ₹/L,+ 0.19
"Oct 10, 2025",96.17 ₹/L,- 0.48
"Oct 09, 2025",95.69 ₹/L,+ 0.06
"Oct 08, 2025",95.75 ₹/L,+ 0.42
"Oct 07, 2025",96.17 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.61 ₹/L,+ 0.25
"Oct 14, 2025",94.86 ₹/L,- 0.01
"Oct 13, 2025",94.85 ₹/L,  0.00
