District,Petrol Price,Change
"Oct 10, 2025",98.30 ₹/L,  0.00
"Oct 09, 2025",98.30 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.06
"Oct 15, 2025",97.94 ₹/L,- 0.14
"Oct 14, 2025",97.80 ₹/L,+ 0.12
"Oct 13, 2025",97.92 ₹/L,- 0.24
"Oct 12, 2025",97.68 ₹/L,+ 0.09
"Oct 11, 2025",97.77 ₹/L,+ 0.15
"Oct 10, 2025",97.92 ₹/L,- 0.04
"Oct 09, 2025",97.88 ₹/L,- 0.35
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.58
"Oct 15, 2025",98.42 ₹/L,- 0.07
"Oct 14, 2025",98.35 ₹/L,- 0.31
"Oct 13, 2025",98.04 ₹/L,+ 0.24
"Oct 12, 2025",98.28 ₹/L,- 0.28
"Oct 11, 2025",98.00 ₹/L,+ 0.21
"Oct 10, 2025",98.21 ₹/L,- 0.17
"Oct 09, 2025",98.04 ₹/L,+ 0.24
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.11
"Oct 15, 2025",97.89 ₹/L,+ 0.08
"Oct 14, 2025",97.97 ₹/L,- 0.09
"Oct 13, 2025",97.88 ₹/L,- 0.03
"Oct 12, 2025",97.85 ₹/L,+ 0.03
"Oct 11, 2025",97.88 ₹/L,- 0.26
"Oct 10, 2025",97.62 ₹/L,+ 0.26
"Oct 09, 2025",97.88 ₹/L,- 0.07
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.40
"Oct 15, 2025",98.60 ₹/L,- 0.21
"Oct 14, 2025",98.39 ₹/L,+ 0.17
"Oct 13, 2025",98.56 ₹/L,+ 0.04
"Oct 12, 2025",98.60 ₹/L,  0.00
"Oct 11, 2025",98.60 ₹/L,  0.00
"Oct 10, 2025",98.60 ₹/L,- 0.21
"Oct 09, 2025",98.39 ₹/L,- 0.23
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.19
"Oct 15, 2025",97.81 ₹/L,- 0.05
"Oct 14, 2025",97.76 ₹/L,+ 0.07
"Oct 13, 2025",97.83 ₹/L,  0.00
"Oct 12, 2025",97.83 ₹/L,+ 0.27
"Oct 11, 2025",98.10 ₹/L,- 0.29
"Oct 10, 2025",97.81 ₹/L,+ 0.47
"Oct 09, 2025",98.28 ₹/L,- 0.70
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.48
"Oct 15, 2025",98.52 ₹/L,- 0.39
"Oct 14, 2025",98.13 ₹/L,+ 0.46
"Oct 13, 2025",98.59 ₹/L,- 0.34
"Oct 12, 2025",98.25 ₹/L,+ 0.15
"Oct 11, 2025",98.40 ₹/L,+ 0.12
"Oct 10, 2025",98.52 ₹/L,- 0.27
"Oct 09, 2025",98.25 ₹/L,- 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 44.52
"Oct 15, 2025",97.48 ₹/L,- 0.13
"Oct 14, 2025",97.35 ₹/L,+ 0.13
"Oct 13, 2025",97.48 ₹/L,- 0.01
"Oct 12, 2025",97.47 ₹/L,+ 0.13
"Oct 11, 2025",97.60 ₹/L,- 0.12
"Oct 10, 2025",97.48 ₹/L,  0.00
"Oct 09, 2025",97.48 ₹/L,- 0.04
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 43.49
"Oct 15, 2025",98.51 ₹/L,- 0.28
"Oct 14, 2025",98.23 ₹/L,+ 0.38
