District,Petrol Price,Change
"Oct 09, 2025",107.82 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.24
"Oct 15, 2025",108.76 ₹/L,- 0.01
"Oct 14, 2025",108.75 ₹/L,- 0.05
"Oct 13, 2025",108.70 ₹/L,+ 0.05
"Oct 12, 2025",108.75 ₹/L,- 0.15
"Oct 11, 2025",108.60 ₹/L,- 0.10
"Oct 10, 2025",108.50 ₹/L,+ 0.20
"Oct 09, 2025",108.70 ₹/L,- 0.25
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.24
"Oct 15, 2025",107.76 ₹/L,+ 0.04
"Oct 14, 2025",107.80 ₹/L,+ 0.11
"Oct 13, 2025",107.91 ₹/L,+ 0.68
"Oct 12, 2025",108.59 ₹/L,- 0.59
"Oct 11, 2025",108.00 ₹/L,  0.00
"Oct 10, 2025",108.00 ₹/L,- 0.09
"Oct 09, 2025",107.91 ₹/L,+ 0.32
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.54
"Oct 15, 2025",107.46 ₹/L,  0.00
"Oct 14, 2025",107.46 ₹/L,  0.00
"Oct 13, 2025",107.46 ₹/L,- 0.39
"Oct 12, 2025",107.07 ₹/L,+ 0.39
"Oct 11, 2025",107.46 ₹/L,  0.00
"Oct 10, 2025",107.46 ₹/L,  0.00
"Oct 09, 2025",107.46 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.76
"Oct 15, 2025",108.24 ₹/L,+ 0.34
"Oct 14, 2025",108.58 ₹/L,  0.00
"Oct 13, 2025",108.58 ₹/L,- 0.58
"Oct 12, 2025",108.00 ₹/L,+ 0.83
"Oct 11, 2025",108.83 ₹/L,- 0.59
"Oct 10, 2025",108.24 ₹/L,+ 0.17
"Oct 09, 2025",108.41 ₹/L,- 0.17
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.91
"Oct 15, 2025",107.09 ₹/L,+ 0.65
"Oct 14, 2025",107.74 ₹/L,- 0.65
"Oct 13, 2025",107.09 ₹/L,  0.00
"Oct 12, 2025",107.09 ₹/L,+ 0.20
"Oct 11, 2025",107.29 ₹/L,- 0.20
"Oct 10, 2025",107.09 ₹/L,+ 0.65
"Oct 09, 2025",107.74 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.36
"Oct 15, 2025",108.64 ₹/L,+ 0.10
"Oct 14, 2025",108.74 ₹/L,  0.00
"Oct 13, 2025",108.74 ₹/L,- 0.10
"Oct 12, 2025",108.64 ₹/L,- 0.42
"Oct 11, 2025",108.22 ₹/L,+ 0.42
"Oct 10, 2025",108.64 ₹/L,- 0.31
"Oct 09, 2025",108.33 ₹/L,+ 0.07
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.63
"Oct 15, 2025",107.37 ₹/L,+ 0.71
"Oct 14, 2025",108.08 ₹/L,- 0.49
"Oct 13, 2025",107.59 ₹/L,+ 0.31
"Oct 12, 2025",107.90 ₹/L,- 0.71
"Oct 11, 2025",107.19 ₹/L,+ 0.02
"Oct 10, 2025",107.21 ₹/L,+ 0.38
"Oct 09, 2025",107.59 ₹/L,- 0.22
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.17
"Oct 15, 2025",108.83 ₹/L,- 0.16
"Oct 14, 2025",108.67 ₹/L,+ 0.16
"Oct 13, 2025",108.83 ₹/L,- 0.16
"Oct 12, 2025",108.67 ₹/L,+ 0.16
"Oct 11, 2025",108.83 ₹/L,  0.00
"Oct 10, 2025",108.83 ₹/L,  0.00
"Oct 09, 2025",108.83 ₹/L,- 0.16
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 33.18
"Oct 15, 2025",108.82 ₹/L,  0.00
"Oct 14, 2025",108.82 ₹/L,  0.00
"Oct 13, 2025",108.82 ₹/L,  0.00
"Oct 12, 2025",108.82 ₹/L,  0.00
"Oct 11, 2025",108.82 ₹/L,+ 0.01
"Oct 10, 2025",108.83 ₹/L,  0.00
